Instancia,Mejor,Presa inicial,Delta,Factibilidad,Tiempo de ejecución,Memoria utilizada (MB),Valores de las presas
Fácil,22397,-30206,52603,True,7.633346080780029,14.805586814880371,"[np.int64(-104720), np.int64(-82131), np.int64(-101293), np.int64(-80668), np.int64(-106894), np.int64(-67087), np.int64(-86111), np.int64(-109951), np.int64(-73700), np.int64(-81987), np.int64(-64736), np.int64(-68876), np.int64(-149035), np.int64(-92700), np.int64(-98314), np.int64(-42845), np.int64(-64768), np.int64(-100803), np.int64(-118838), np.int64(-112300), np.int64(-57741), np.int64(-92122), np.int64(-114144), np.int64(-114630), np.int64(-49527), np.int64(-62702), np.int64(-88600), np.int64(-61450), np.int64(-111930), np.int64(-86597), np.int64(-79275), np.int64(-94575), np.int64(-125072), np.int64(-95307), np.int64(-72654), np.int64(-104413), np.int64(-139787), np.int64(-79735), np.int64(-74141), np.int64(-70142), np.int64(-70180), np.int64(-89030), np.int64(-73081), np.int64(-70296), np.int64(-84378), np.int64(-30206), np.int64(-82734), np.int64(-98331), np.int64(-62734), np.int64(-95989), np.int64(-132729), np.int64(-73952), np.int64(-120012), np.int64(-96108), np.int64(-103561), np.int64(-92021), np.int64(-92824), np.int64(-94855), np.int64(-137344), np.int64(-103536), np.int64(-86741), np.int64(-84769), np.int64(-110079), np.int64(-93519), np.int64(-101149), np.int64(-100046), np.int64(-82978), np.int64(-85639), np.int64(-72021), np.int64(-97915), np.int64(-93263), np.int64(-87255), np.int64(-72173), np.int64(-74111), np.int64(-47382), np.int64(-106189), np.int64(-81785), np.int64(-68467), np.int64(-128075), np.int64(-106986), np.int64(-120555), np.int64(-61046), np.int64(-52508), np.int64(-87711), np.int64(-73459), np.int64(-95209), np.int64(-107494), np.int64(-72826), np.int64(-109480), np.int64(-90285), np.int64(-40548), np.int64(-98717), np.int64(-73491), np.int64(-97811), np.int64(-124292), np.int64(-74471), np.int64(-116742), np.int64(-107700), np.int64(-112226), np.int64(-51781)]"
Fácil,22961,-27073,50034,False,6.838226795196533,0.09495067596435547,"[np.int64(-83791), np.int64(-62483), np.int64(-99474), np.int64(-92286), np.int64(-114771), np.int64(-83559), np.int64(-125442), np.int64(-53204), np.int64(-106128), np.int64(-56033), np.int64(-77407), np.int64(-84284), np.int64(-81435), np.int64(-61879), np.int64(-99418), np.int64(-103649), np.int64(-124327), np.int64(-87473), np.int64(-27073), np.int64(-49945), np.int64(-70289), np.int64(-62786), np.int64(-91406), np.int64(-54993), np.int64(-111417), np.int64(-120019), np.int64(-103819), np.int64(-108348), np.int64(-87160), np.int64(-58336), np.int64(-82286), np.int64(-118053), np.int64(-134596), np.int64(-122446), np.int64(-84964), np.int64(-111626), np.int64(-121375), np.int64(-70121), np.int64(-129913), np.int64(-66376), np.int64(-105234), np.int64(-103895), np.int64(-100128), np.int64(-97375), np.int64(-93833), np.int64(-122033), np.int64(-66899), np.int64(-85394), np.int64(-86882), np.int64(-117771), np.int64(-93355), np.int64(-101042), np.int64(-91339), np.int64(-59500), np.int64(-86963), np.int64(-65568), np.int64(-85701), np.int64(-41126), np.int64(-48406), np.int64(-116947), np.int64(-89743), np.int64(-64300), np.int64(-66011), np.int64(-130805), np.int64(-73822), np.int64(-62570), np.int64(-81287), np.int64(-111786), np.int64(-48805), np.int64(-81505), np.int64(-83252), np.int64(-56996), np.int64(-89500), np.int64(-101914), np.int64(-85248), np.int64(-107407), np.int64(-72151), np.int64(-82707), np.int64(-104065), np.int64(-105776), np.int64(-112227), np.int64(-71975), np.int64(-108609), np.int64(-55742), np.int64(-75732), np.int64(-65549), np.int64(-51697), np.int64(-71067), np.int64(-89950), np.int64(-115476), np.int64(-101905), np.int64(-79482), np.int64(-115078), np.int64(-81130), np.int64(-70922), np.int64(-101766), np.int64(-79077), np.int64(-82737), np.int64(-85174), np.int64(-33967)]"
Fácil,22462,-27281,49743,False,6.789915561676025,0.09533023834228516,"[np.int64(-103250), np.int64(-85714), np.int64(-97930), np.int64(-80746), np.int64(-87612), np.int64(-61263), np.int64(-78572), np.int64(-146633), np.int64(-92767), np.int64(-98861), np.int64(-60654), np.int64(-27281), np.int64(-108425), np.int64(-54656), np.int64(-60427), np.int64(-78712), np.int64(-92664), np.int64(-98919), np.int64(-149318), np.int64(-107913), np.int64(-105648), np.int64(-83001), np.int64(-64691), np.int64(-80203), np.int64(-101176), np.int64(-93567), np.int64(-88746), np.int64(-33372), np.int64(-74789), np.int64(-88370), np.int64(-43089), np.int64(-33721), np.int64(-98318), np.int64(-76336), np.int64(-102933), np.int64(-78455), np.int64(-82697), np.int64(-88181), np.int64(-79739), np.int64(-64093), np.int64(-99728), np.int64(-103273), np.int64(-76408), np.int64(-70344), np.int64(-107570), np.int64(-80970), np.int64(-67261), np.int64(-66476), np.int64(-42170), np.int64(-71584), np.int64(-118693), np.int64(-59479), np.int64(-75517), np.int64(-81050), np.int64(-65656), np.int64(-57586), np.int64(-74440), np.int64(-64644), np.int64(-64993), np.int64(-106210), np.int64(-111671), np.int64(-112360), np.int64(-105011), np.int64(-73359), np.int64(-96629), np.int64(-85014), np.int64(-105429), np.int64(-104925), np.int64(-105341), np.int64(-65808), np.int64(-109648), np.int64(-94654), np.int64(-84399), np.int64(-126908), np.int64(-123508), np.int64(-44448), np.int64(-106835), np.int64(-80521), np.int64(-96874), np.int64(-91390), np.int64(-69922), np.int64(-86864), np.int64(-81911), np.int64(-100904), np.int64(-70861), np.int64(-69436), np.int64(-103869), np.int64(-116392), np.int64(-83801), np.int64(-98360), np.int64(-121292), np.int64(-78022), np.int64(-61658), np.int64(-89895), np.int64(-67158), np.int64(-57509), np.int64(-46456), np.int64(-73512), np.int64(-101818)]"
Fácil,23241,-43884,67125,True,6.806210517883301,0.09519672393798828,"[np.int64(-79860), np.int64(-72664), np.int64(-92260), np.int64(-112064), np.int64(-67023), np.int64(-89251), np.int64(-78885), np.int64(-94692), np.int64(-115275), np.int64(-89909), np.int64(-71616), np.int64(-73761), np.int64(-112567), np.int64(-113505), np.int64(-87861), np.int64(-104771), np.int64(-79055), np.int64(-79639), np.int64(-51298), np.int64(-62688), np.int64(-86520), np.int64(-81447), np.int64(-82541), np.int64(-104248), np.int64(-117835), np.int64(-69603), np.int64(-115565), np.int64(-81419), np.int64(-59381), np.int64(-75437), np.int64(-89180), np.int64(-82716), np.int64(-64707), np.int64(-139973), np.int64(-108667), np.int64(-132923), np.int64(-61621), np.int64(-108299), np.int64(-120463), np.int64(-79465), np.int64(-106885), np.int64(-63369), np.int64(-82688), np.int64(-111681), np.int64(-85959), np.int64(-82982), np.int64(-71739), np.int64(-114874), np.int64(-86599), np.int64(-91590), np.int64(-96267), np.int64(-43884), np.int64(-84472), np.int64(-69717), np.int64(-120237), np.int64(-124635), np.int64(-75479), np.int64(-100945), np.int64(-97212), np.int64(-53622), np.int64(-61143), np.int64(-100812), np.int64(-116156), np.int64(-62406), np.int64(-68336), np.int64(-83766), np.int64(-76205), np.int64(-100205), np.int64(-102634), np.int64(-72475), np.int64(-84133), np.int64(-67028), np.int64(-71350), np.int64(-96269), np.int64(-88575), np.int64(-106869), np.int64(-74073), np.int64(-143015), np.int64(-82786), np.int64(-61860), np.int64(-59573), np.int64(-75990), np.int64(-65167), np.int64(-110139), np.int64(-138792), np.int64(-108521), np.int64(-103752), np.int64(-88155), np.int64(-78654), np.int64(-60972), np.int64(-77165), np.int64(-89156), np.int64(-116848), np.int64(-82026), np.int64(-87873), np.int64(-118069), np.int64(-52382), np.int64(-104171), np.int64(-66241), np.int64(-96972)]"
Fácil,22459,-34130,56589,False,6.972080707550049,0.0953531265258789,"[np.int64(-53974), np.int64(-131807), np.int64(-80717), np.int64(-72749), np.int64(-71179), np.int64(-85507), np.int64(-114013), np.int64(-88802), np.int64(-78834), np.int64(-86196), np.int64(-80351), np.int64(-87541), np.int64(-94982), np.int64(-64643), np.int64(-51271), np.int64(-81266), np.int64(-48287), np.int64(-62908), np.int64(-85889), np.int64(-67381), np.int64(-78101), np.int64(-67305), np.int64(-115855), np.int64(-69484), np.int64(-65192), np.int64(-82235), np.int64(-86753), np.int64(-89093), np.int64(-91722), np.int64(-103679), np.int64(-116173), np.int64(-104897), np.int64(-73824), np.int64(-50719), np.int64(-47218), np.int64(-57201), np.int64(-100717), np.int64(-61837), np.int64(-79103), np.int64(-83527), np.int64(-36049), np.int64(-68270), np.int64(-94789), np.int64(-93427), np.int64(-97513), np.int64(-103342), np.int64(-86433), np.int64(-93762), np.int64(-79173), np.int64(-92625), np.int64(-75123), np.int64(-112167), np.int64(-34130), np.int64(-105361), np.int64(-88020), np.int64(-55648), np.int64(-81105), np.int64(-75580), np.int64(-53477), np.int64(-110400), np.int64(-90630), np.int64(-83727), np.int64(-102850), np.int64(-58706), np.int64(-94374), np.int64(-130749), np.int64(-92275), np.int64(-82012), np.int64(-61300), np.int64(-108902), np.int64(-47284), np.int64(-106268), np.int64(-115140), np.int64(-72090), np.int64(-91061), np.int64(-70784), np.int64(-75288), np.int64(-102546), np.int64(-89438), np.int64(-118460), np.int64(-59645), np.int64(-82542), np.int64(-80710), np.int64(-87057), np.int64(-64395), np.int64(-105706), np.int64(-120981), np.int64(-74731), np.int64(-71214), np.int64(-99834), np.int64(-141603), np.int64(-43894), np.int64(-108908), np.int64(-87771), np.int64(-78748), np.int64(-91315), np.int64(-77693), np.int64(-125048), np.int64(-99532), np.int64(-105369)]"
Fácil,23124,-3416,26540,True,6.788945913314819,0.09444904327392578,"[np.int64(-108120), np.int64(-72623), np.int64(-100662), np.int64(-114513), np.int64(-74474), np.int64(-79777), np.int64(-115728), np.int64(-53174), np.int64(-70808), np.int64(-126761), np.int64(-105674), np.int64(-68872), np.int64(-72759), np.int64(-86308), np.int64(-86589), np.int64(-91473), np.int64(-111730), np.int64(-82753), np.int64(-89370), np.int64(-90065), np.int64(-89346), np.int64(-85514), np.int64(-109170), np.int64(-98955), np.int64(-89576), np.int64(-93629), np.int64(-54152), np.int64(-122839), np.int64(-57368), np.int64(-117207), np.int64(-82326), np.int64(-100078), np.int64(-67520), np.int64(-82765), np.int64(-140212), np.int64(-71284), np.int64(-67090), np.int64(-91867), np.int64(-104870), np.int64(-72798), np.int64(-93441), np.int64(-87763), np.int64(-72957), np.int64(-108926), np.int64(-3416), np.int64(-82268), np.int64(-78715), np.int64(-120809), np.int64(-107124), np.int64(-116276), np.int64(-110747), np.int64(-60169), np.int64(-76922), np.int64(-86314), np.int64(-128320), np.int64(-104590), np.int64(-88990), np.int64(-65743), np.int64(-111665), np.int64(-63660), np.int64(-67592), np.int64(-111075), np.int64(-94323), np.int64(-74799), np.int64(-136379), np.int64(-92760), np.int64(-116338), np.int64(-102498), np.int64(-110978), np.int64(-120368), np.int64(-83753), np.int64(-99702), np.int64(-91918), np.int64(-91151), np.int64(-79995), np.int64(-55039), np.int64(-101037), np.int64(-65879), np.int64(-75724), np.int64(-113741), np.int64(-97608), np.int64(-100770), np.int64(-93685), np.int64(-98903), np.int64(-101780), np.int64(-33413), np.int64(-60577), np.int64(-101692), np.int64(-99859), np.int64(-82643), np.int64(-46777), np.int64(-106134), np.int64(-51274), np.int64(-78559), np.int64(-60364), np.int64(-109955), np.int64(-99430), np.int64(-72195), np.int64(-67938), np.int64(-73661)]"
Fácil,23610,-37795,61405,True,6.805946588516235,0.09520626068115234,"[np.int64(-90103), np.int64(-96859), np.int64(-110163), np.int64(-84234), np.int64(-93184), np.int64(-91306), np.int64(-77304), np.int64(-115079), np.int64(-96486), np.int64(-97866), np.int64(-93403), np.int64(-103367), np.int64(-80995), np.int64(-105368), np.int64(-119466), np.int64(-81416), np.int64(-95442), np.int64(-70205), np.int64(-100052), np.int64(-85093), np.int64(-88682), np.int64(-81334), np.int64(-108274), np.int64(-101298), np.int64(-83520), np.int64(-74752), np.int64(-75797), np.int64(-141307), np.int64(-63467), np.int64(-61185), np.int64(-74987), np.int64(-107232), np.int64(-50990), np.int64(-116205), np.int64(-101751), np.int64(-108094), np.int64(-95029), np.int64(-67039), np.int64(-37795), np.int64(-85790), np.int64(-70167), np.int64(-82173), np.int64(-74068), np.int64(-67957), np.int64(-85932), np.int64(-76839), np.int64(-85272), np.int64(-93455), np.int64(-70809), np.int64(-68396), np.int64(-99446), np.int64(-84636), np.int64(-64589), np.int64(-76430), np.int64(-94320), np.int64(-84326), np.int64(-64065), np.int64(-117049), np.int64(-92685), np.int64(-63244), np.int64(-104882), np.int64(-118520), np.int64(-105336), np.int64(-84368), np.int64(-93223), np.int64(-102477), np.int64(-56709), np.int64(-98045), np.int64(-68902), np.int64(-82561), np.int64(-81337), np.int64(-66072), np.int64(-95279), np.int64(-106343), np.int64(-67701), np.int64(-81681), np.int64(-82482), np.int64(-64489), np.int64(-113435), np.int64(-73151), np.int64(-69062), np.int64(-92283), np.int64(-93647), np.int64(-97664), np.int64(-106602), np.int64(-81382), np.int64(-100039), np.int64(-96086), np.int64(-78285), np.int64(-103550), np.int64(-63184), np.int64(-103641), np.int64(-123476), np.int64(-68283), np.int64(-84625), np.int64(-118189), np.int64(-84828), np.int64(-74929), np.int64(-76890), np.int64(-70330)]"
Fácil,22356,-36235,58591,False,6.8005616664886475,0.0953531265258789,"[np.int64(-93953), np.int64(-92076), np.int64(-82225), np.int64(-59234), np.int64(-91956), np.int64(-126509), np.int64(-133308), np.int64(-83265), np.int64(-94075), np.int64(-74002), np.int64(-114783), np.int64(-106844), np.int64(-81426), np.int64(-93289), np.int64(-66934), np.int64(-108848), np.int64(-88125), np.int64(-95716), np.int64(-65048), np.int64(-66341), np.int64(-71401), np.int64(-84824), np.int64(-86672), np.int64(-118460), np.int64(-77937), np.int64(-125735), np.int64(-80449), np.int64(-111375), np.int64(-113675), np.int64(-101080), np.int64(-106721), np.int64(-95812), np.int64(-77675), np.int64(-128084), np.int64(-96060), np.int64(-74992), np.int64(-47279), np.int64(-92027), np.int64(-113741), np.int64(-105790), np.int64(-54230), np.int64(-111412), np.int64(-81106), np.int64(-93992), np.int64(-115537), np.int64(-36235), np.int64(-110182), np.int64(-105513), np.int64(-65954), np.int64(-100575), np.int64(-82043), np.int64(-133459), np.int64(-97469), np.int64(-93131), np.int64(-115413), np.int64(-133003), np.int64(-76749), np.int64(-113728), np.int64(-113798), np.int64(-96763), np.int64(-75869), np.int64(-90838), np.int64(-89222), np.int64(-73010), np.int64(-93621), np.int64(-78188), np.int64(-123522), np.int64(-115010), np.int64(-66801), np.int64(-87309), np.int64(-70424), np.int64(-106167), np.int64(-83179), np.int64(-103834), np.int64(-104765), np.int64(-83543), np.int64(-129484), np.int64(-81031), np.int64(-94493), np.int64(-97326), np.int64(-112537), np.int64(-63923), np.int64(-96829), np.int64(-79763), np.int64(-73660), np.int64(-103597), np.int64(-59926), np.int64(-100965), np.int64(-110972), np.int64(-113047), np.int64(-98175), np.int64(-119531), np.int64(-146286), np.int64(-88225), np.int64(-89393), np.int64(-82427), np.int64(-109599), np.int64(-70443), np.int64(-87493), np.int64(-74397)]"
Fácil,22558,-37276,59834,False,6.773081302642822,0.09520816802978516,"[np.int64(-99069), np.int64(-96652), np.int64(-95363), np.int64(-75798), np.int64(-37276), np.int64(-101497), np.int64(-93291), np.int64(-93811), np.int64(-118183), np.int64(-131784), np.int64(-112326), np.int64(-84969), np.int64(-134854), np.int64(-108206), np.int64(-90295), np.int64(-86549), np.int64(-76107), np.int64(-98167), np.int64(-49864), np.int64(-101037), np.int64(-105290), np.int64(-102198), np.int64(-81912), np.int64(-39985), np.int64(-58983), np.int64(-80360), np.int64(-84234), np.int64(-77318), np.int64(-79172), np.int64(-69060), np.int64(-147765), np.int64(-71920), np.int64(-119572), np.int64(-131476), np.int64(-58420), np.int64(-82511), np.int64(-80828), np.int64(-65342), np.int64(-108218), np.int64(-55237), np.int64(-93130), np.int64(-94652), np.int64(-81848), np.int64(-133856), np.int64(-83344), np.int64(-77930), np.int64(-63094), np.int64(-92478), np.int64(-109407), np.int64(-60145), np.int64(-110685), np.int64(-80942), np.int64(-133407), np.int64(-96083), np.int64(-100407), np.int64(-137752), np.int64(-70485), np.int64(-82804), np.int64(-74356), np.int64(-94256), np.int64(-47752), np.int64(-46822), np.int64(-71823), np.int64(-118416), np.int64(-75045), np.int64(-83286), np.int64(-82891), np.int64(-115305), np.int64(-111074), np.int64(-82086), np.int64(-92817), np.int64(-55572), np.int64(-51030), np.int64(-92414), np.int64(-91565), np.int64(-79893), np.int64(-108530), np.int64(-67807), np.int64(-127108), np.int64(-92007), np.int64(-103865), np.int64(-113106), np.int64(-115599), np.int64(-80201), np.int64(-109641), np.int64(-59106), np.int64(-87273), np.int64(-75525), np.int64(-115499), np.int64(-69766), np.int64(-85003), np.int64(-97047), np.int64(-99676), np.int64(-114531), np.int64(-76342), np.int64(-101918), np.int64(-90876), np.int64(-117197), np.int64(-77980), np.int64(-97566)]"
Fácil,22435,-34148,56583,True,6.781867265701294,0.09447193145751953,"[np.int64(-84969), np.int64(-96675), np.int64(-96493), np.int64(-78486), np.int64(-55557), np.int64(-93582), np.int64(-115091), np.int64(-87133), np.int64(-85248), np.int64(-138388), np.int64(-124443), np.int64(-70607), np.int64(-95646), np.int64(-94839), np.int64(-98104), np.int64(-68145), np.int64(-101889), np.int64(-104748), np.int64(-93695), np.int64(-81572), np.int64(-63544), np.int64(-34148), np.int64(-65214), np.int64(-98691), np.int64(-98959), np.int64(-86979), np.int64(-67992), np.int64(-106850), np.int64(-87856), np.int64(-61147), np.int64(-110836), np.int64(-65701), np.int64(-93696), np.int64(-106701), np.int64(-100477), np.int64(-102785), np.int64(-84695), np.int64(-71410), np.int64(-107024), np.int64(-130537), np.int64(-98880), np.int64(-65777), np.int64(-123985), np.int64(-58660), np.int64(-122421), np.int64(-95588), np.int64(-101825), np.int64(-62814), np.int64(-123113), np.int64(-105652), np.int64(-74553), np.int64(-106321), np.int64(-120958), np.int64(-126648), np.int64(-90192), np.int64(-142865), np.int64(-104826), np.int64(-90728), np.int64(-87939), np.int64(-55509), np.int64(-111150), np.int64(-85164), np.int64(-95670), np.int64(-118580), np.int64(-104138), np.int64(-112725), np.int64(-71176), np.int64(-66466), np.int64(-84994), np.int64(-79555), np.int64(-98462), np.int64(-117356), np.int64(-83049), np.int64(-52449), np.int64(-83233), np.int64(-50719), np.int64(-79273), np.int64(-53748), np.int64(-72531), np.int64(-73287), np.int64(-72727), np.int64(-97133), np.int64(-75281), np.int64(-55349), np.int64(-45869), np.int64(-69079), np.int64(-87162), np.int64(-75905), np.int64(-112119), np.int64(-89651), np.int64(-67133), np.int64(-66822), np.int64(-73690), np.int64(-93369), np.int64(-63622), np.int64(-89865), np.int64(-73021), np.int64(-89448), np.int64(-135103), np.int64(-87464)]"
